date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:05	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Sun,%2016%20Aug%202020%2002:57:03%20GMT	https://tweet-inspector-app.herokuapp.com/robots.txt		(from )
08:27:05	5026/5026	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2002:57:03%20GMT	https://tweet-inspector-app.herokuapp.com/	C:/Users/abhis/Desktop/tweet-inspector/tweet-inspector-app.herokuapp.com/index.html	(from )
08:27:05	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Sun,%2016%20Aug%202020%2002:57:04%20GMT	https://tweet-inspector-app.herokuapp.com/images/g.png	C:/Users/abhis/Desktop/tweet-inspector/tweet-inspector-app.herokuapp.com/images/g.png	(from https://tweet-inspector-app.herokuapp.com/)
08:27:06	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/abhis/Desktop/tweet-inspector/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:06	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/abhis/Desktop/tweet-inspector/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:07	217/217	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2002:57:06%20GMT	https://fonts.googleapis.com/css?family=Acme	C:/Users/abhis/Desktop/tweet-inspector/fonts.googleapis.com/css3403.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:07	597/597	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2002:57:06%20GMT	https://fonts.googleapis.com/css?family=Raleway:400,300,600	C:/Users/abhis/Desktop/tweet-inspector/fonts.googleapis.com/css4874.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:07	272/272	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2002:57:06%20GMT	https://fonts.googleapis.com/css?family=Montserrat&display=swap	C:/Users/abhis/Desktop/tweet-inspector/fonts.googleapis.com/css91c3.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:08	250/250	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2002:57:07%20GMT	https://fonts.googleapis.com/css?family=Playfair+Display&display=swap	C:/Users/abhis/Desktop/tweet-inspector/fonts.googleapis.com/css6dc4.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:08	264/264	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2002:57:07%20GMT	https://fonts.googleapis.com/css?family=Fira+Sans&display=swap	C:/Users/abhis/Desktop/tweet-inspector/fonts.googleapis.com/css128f.css	(from https://tweet-inspector-app.herokuapp.com/)
08:27:09	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/abhis/Desktop/tweet-inspector/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://tweet-inspector-app.herokuapp.com/)
08:27:09	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/abhis/Desktop/tweet-inspector/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://tweet-inspector-app.herokuapp.com/)
08:27:09	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043f8-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/Users/abhis/Desktop/tweet-inspector/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://tweet-inspector-app.herokuapp.com/)
08:27:10	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Aug%202020%2002:57:08%20GMT	https://fonts.googleapis.com/robots.txt		(from https://tweet-inspector-app.herokuapp.com/)
